,Unnamed: 0,id,Store,categories,referralId,hasPerk,location.address,location.crossStreet,location.lat,location.lng,location.labeledLatLngs,location.postalCode,location.cc,location.city,location.state,location.country,location.formattedAddress,venuePage.id,Population
21,21,5f8df30793cd5847fc115645,Emerald Dispensary Phoenix,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,4244 W Dunlap Rd Ste 1,,33.5678968,-112.1507395,"[{'label': 'display', 'lat': 33.5678968, 'lng': -112.1507395}]",85051.0,US,Phoenix,AZ,United States,"['4244 W Dunlap Rd Ste 1', 'Phoenix, AZ 85051', 'United States']",,1626078.0
24,24,5b3306b3f709c1002c81f105,Glendale CBD Dispensary™,"[{'id': '4bf58dd8d48988d1ff941735', 'name': 'Miscellaneous Shop', 'pluralName': 'Miscellaneous Shops', 'shortName': 'Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,6506 W Glendale Ave,67th and glendale ave,33.538742,-112.200119,"[{'label': 'display', 'lat': 33.538742, 'lng': -112.200119}]",85301.0,US,Glendale,AZ,United States,"['6506 W Glendale Ave (67th and glendale ave)', 'Glendale, AZ 85301', 'United States']",,246709.0
25,25,5fdb56761699bb085ed57819,Curaleaf Dispensary Pavilions,"[{'id': '52e81612bcbc57f1066b7a3c', 'name': 'Alternative Healer', 'pluralName': 'Alternative Healers', 'shortName': 'Alternative Healer', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,2175 N 83rd Ave,,33.4702221459243,-112.2391519536701,"[{'label': 'display', 'lat': 33.4702221459243, 'lng': -112.2391519536701}]",85035.0,US,Phoenix,AZ,United States,"['2175 N 83rd Ave', 'Phoenix, AZ 85035', 'United States']",1360140485.0,1626078.0
26,26,5a9442970881583b16645221,Territory Dispensary,"[{'id': '52e81612bcbc57f1066b7a3c', 'name': 'Alternative Healer', 'pluralName': 'Alternative Healers', 'shortName': 'Alternative Healer', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,7200 West Chandler Boulevard,,33.30607836,-111.96618636,"[{'label': 'display', 'lat': 33.30607836, 'lng': -111.96618636}, {'label': 'entrance', 'lat': 33.305983, 'lng': -111.966203}]",85226.0,US,Chandler,AZ,United States,"['7200 West Chandler Boulevard', 'Chandler, AZ 85226', 'United States']",480674592.0,253458.0
27,27,53bf1c86498e7666ec0acd08,The Arizona Dispensary,"[{'id': '4bf58dd8d48988d124941735', 'name': 'Office', 'pluralName': 'Offices', 'shortName': 'Office', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,2010 E University Dr Ste 13,,33.422585671028315,-111.9000434875488,"[{'label': 'display', 'lat': 33.422585671028315, 'lng': -111.90004348754881}]",85281.0,US,Tempe,AZ,United States,"['2010 E University Dr Ste 13', 'Tempe, AZ 85281', 'United States']",,185038.0
28,28,5fc486f9066b98253b147cca,Harvest HOC of Tempe Dispensary,"[{'id': '4bf58dd8d48988d1fd941735', 'name': 'Shopping Mall', 'pluralName': 'Shopping Malls', 'shortName': 'Mall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/mall_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,710 West Elliot Road #102,,33.3496684,-111.9475449,"[{'label': 'display', 'lat': 33.3496684, 'lng': -111.9475449}]",85284.0,US,Tempe,AZ,United States,"['710 West Elliot Road #102', 'Tempe, AZ 85284', 'United States']",598690946.0,185038.0
29,29,5ade26139e0d5460c1afcdd1,The Phoenix Dispensary,"[{'id': '52e81612bcbc57f1066b7a3c', 'name': 'Alternative Healer', 'pluralName': 'Alternative Healers', 'shortName': 'Alternative Healer', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,9897 West McDowell Road,,33.4638562,-112.2708046,"[{'label': 'entrance', 'lat': 33.442347, 'lng': -112.23292}, {'label': 'display', 'lat': 33.4638562, 'lng': -112.2708046}]",85353.0,US,Tolleson,AZ,United States,"['9897 West McDowell Road', 'Tolleson, AZ 85353', 'United States']",562090590.0,
35,35,5e134084ed0b1c0007889f0e,Territory Dispensary Mesa,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,550 W McKellips Rd,,33.4516314,-111.8432694,"[{'label': 'display', 'lat': 33.4516314, 'lng': -111.8432694}, {'label': 'entrance', 'lat': 33.451594, 'lng': -111.843719}]",85201.0,US,Mesa,AZ,United States,"['550 W McKellips Rd', 'Mesa, AZ 85201', 'United States']",573417327.0,496401.0
36,36,588253bf9343e011e4770eef,The Good Dispensary,"[{'id': '52e81612bcbc57f1066b7a3c', 'name': 'Alternative Healer', 'pluralName': 'Alternative Healers', 'shortName': 'Alternative Healer', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,1842 W Broadway Rd,Broadway and Dobson,33.408888,-111.872519,"[{'label': 'display', 'lat': 33.408888, 'lng': -111.872519}, {'label': 'entrance', 'lat': 33.407791, 'lng': -111.871285}]",85202.0,US,Mesa,AZ,United States,"['1842 W Broadway Rd (Broadway and Dobson)', 'Mesa, AZ 85202', 'United States']",,496401.0
38,38,5ac3dcd5d807ee75da496801,Nova Dispensary,"[{'id': '52e81612bcbc57f1066b7a3c', 'name': 'Alternative Healer', 'pluralName': 'Alternative Healers', 'shortName': 'Alternative Healer', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,1911 West Broadway Road,,33.4071225,-111.8726485,"[{'label': 'display', 'lat': 33.4071225, 'lng': -111.8726485}, {'label': 'entrance', 'lat': 33.407184, 'lng': -111.872748}]",85202.0,US,Mesa,AZ,United States,"['1911 West Broadway Road', 'Mesa, AZ 85202', 'United States']",481112516.0,496401.0
